Title,Company,Ratings,Experience,Salary,Location,Job_Post_History,Skills,Description
Sr Data Scientist,Uber,4.1,6-12 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Computer science', 'Interpersonal skills', 'Project management', 'Technical Lead', 'Actuarial', 'data visualization', 'Bioinformatics', 'Analytics']"," MS or Bachelors degree in Math, Economics, Bioinformatics, Statistics, Engineering, Com..."
Data Science - Senior Data Scientist,Paytm,3.7,2-4 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",30+ Days Ago,"['Data Science', 'Business Intelligence', 'R', 'Data Scientist', 'C + +', 'Hadoop', 'Data Mining', 'Data Visualization']", Experience in data mining Proven experience as a Data Scientist or Data Analyst Experie...
Senior Data Scientist ,Walmart,4.2,9-12 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Unix', 'Supply chain', 'Linux', 'Machine learning', 'SCALA', 'Agile', 'Data mining', 'Forecasting']", Experience with end-to-end modelling projects emerging from research efforts Bachelors ...
Senior Data Scientist,Ericsson Global Services,4.2,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Open Source', 'Algorithms', 'Data Scientist', 'Neural Networks', 'Keras', 'Solid Programming', 'Machine Learning', 'Python']", Experience in implementing new algorithms and methodologies from leading open source in...
Senior Data Scientist,Walmart,4.2,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,24 Days Ago,"['Procurement', 'Computer science', 'Cloud computing', 'Data analysis', 'data science', 'Db2', 'Coding', 'Agile']"," As a Senior Data Scientist for Walmart, you ll have the opportunity to: Drive data-deri..."
Senior Data Scientist,Walmart,4.2,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Supply chain', 'Data analysis', 'Web analytics']"," Experience in statistical learning: Predictive Prescriptive Analytics, Web Analytics, P..."
Senior Data Scientist Grade12,Flipkart,4.2,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['data science', 'E-commerce', 'Statistics']", The candidate must have a thorough grasp of the theory and application of broad ML algo...
"Senior Data Scientist, Speech Synthesis",NVIDIA,4.2,4-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",30+ Days Ago,"['Senior Data Scientist', 'Speech Synthesis']"," Master s degree (or equivalent experience) or PhD in Computer Science, Electrical Engin..."
Senior Data Scientist I,Delhivery,4.2,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Operations research', 'Excel', 'Machine learning', 'Vice President', 'Mathematics', 'Management', 'Business intelligence', 'Operations']", Masters / PhD degrees in a STEM subject from a top-tier institution (either in India or...
Senior Staff Data Scientist,Swiggy,4.2,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Product management', 'Publishing', 'Simulation', 'Machine learning', 'SCALA', 'Open source', 'SQL', 'Python']"," You would be solving non-trivial, open-ended, high-impact problems impacting delivery e..."
Sr. Product Data Scientist,Uber,4.1,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Microstrategy', 'Computer science', 'Mobile technology', 'Web analytics', 'Data modeling', 'Social media', 'Javascript', 'Data mining']", We are looking for an exceptional Data Scientist with 7+ years of experience to help Ub...
Data Analyst / Data Scientist,JK Technosoft,3.6,5-7 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",21 Days Ago,"['SAP', 'SQL Server', 'Oracle', 'analytical', 'IT Skills', 'Machine Learning', 'Data Analysis', 'Data Visualization']", Develop predictive models and share insights with as per their requirement A good commu...
Senior - Data Scientist,AT and T Global Business Services India P. Ltd.,4.3,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,"['Computer science', 'Mobile technology', 'Network design', 'Data modeling', 'MySQL', 'Consulting', 'Machine learning', 'Data mining']", Experience: Typically requires 8-10 years experience or PhD or Masters in an approved f...
Sr. Data Scientist,Thomson Reuters,4.3,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,21 Days Ago,"['Computer science', 'Customer acquisition', 'Business analytics', 'Analytical', 'Consulting', 'Customer retention', 'Informatica', 'Operations']", Job responsibilities: Work with low to minimum supervision to solve business problems u...
Senior Data and Applied Scientist,Microsoft,4.3,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,12 Days Ago,"['IT Skills', 'Testing', 'Data Science', 'Machine Learning', 'deep learning', 'Data analysis', 'Debugging', 'System design']", Experience implementing machine learning algorithms or research papers from scratch Exp...
Immediate Requirement For Data Scientist || MNC ||,Mount Talent Consulting Private Limited ,4.3,2-5 Yrs,"6,00,000 - 15,00,000 PA.","Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",15 Days Ago,"['python', 'machine learning', 'Deep Learning', 'Keras', 'TensorFlow', 'scikit', 'Linux', 'opencv']", Job Specifications Key Requirement for the Position• Proficiency with a deep learning f...
Data Scientist,Rapid Value IT Services Pvt Ltd,3.9,3-8 Yrs,Not disclosed,"Kochi/Cochin, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",30+ Days Ago,"['Unstructured Data', 'Nlp', 'Data Scientist', 'Data Visualization', 'Keras', 'Computer Vision', 'Deep Learning', 'Python']", Good understanding of supervised and unsupervised learning-based ML algorithms Must be ...
fresher job in data analysts/Scientist,CALIBRE INFOTECH,3.9,0-1 Yrs,"3,00,000 - 5,00,000 PA.","Chennai, Coimbatore, Tamil Nadu",19 Days Ago,"['Data Science', 'fresher', 'Business Analysis', 'software development life cycle', 'IT Skills', 'Software Development']", 0-2 years of experience of Business Analysis of multi-user software in multiple domains...
